Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
63428;TEILHET;46.1023710126,2.81638595115;63560;63;AUVERGNE
71355;PONTOUX;46.9088293038,5.12123849533;71270;71;BOURGOGNE
30308;SANILHAC-SAGRIES;43.9548767362,4.4196061912;30700;30;LANGUEDOC-ROUSSILLON
62878;WARLUS;50.2793115608,2.66486908357;62123;62;NORD-PAS-DE-CALAIS
30022;AUJAC;44.3551368588,4.01860850568;30450;30;LANGUEDOC-ROUSSILLON
41291;VILLETRUN;47.7867092973,1.16554441978;41100;41;CENTRE
89161;ETIVEY;47.6726045815,4.14690426955;89310;89;BOURGOGNE
14034;AVENAY;49.0957497746,-0.464408003458;14210;14;BASSE-NORMANDIE
61354;LES ROTOURS;48.7842951211,-0.263127598038;61210;61;BASSE-NORMANDIE
36138;NERET;46.5724464938,2.14124450374;36400;36;CENTRE
7094;GILHAC-ET-BRUZAC;44.8632410732,4.74540308425;7800;7;RHONE-ALPES
21037;AUXEY-DURESSES;46.985207614,4.7314121472;21190;21;BOURGOGNE
4115;MEAILLES;44.0401459693,6.64532905257;4240;4;PROVENCE-ALPES-COTE D'AZUR
88035;BARBEY-SEROUX;48.1316873956,6.84739914597;88640;88;LORRAINE
60529;REMECOURT;49.4300556144,2.49241906873;60600;60;PICARDIE
77528;VOISENON;48.5701795365,2.66375881473;77950;77;ILE-DE-FRANCE
69182;SAINT-BONNET-DES-BRUYERES;46.2663774591,4.47201345248;69790;69;RHONE-ALPES
76258;FAUVILLE-EN-CAUX;49.6570851688,0.584829133473;76640;76;HAUTE-NORMANDIE
70059;BEAUMOTTE-AUBERTANS;47.433936502,6.16129269067;70190;70;FRANCHE-COMTE
32322;POMPIAC;43.5155437622,1.00396355344;32130;32;MIDI-PYRENEES
17425;SEMUSSAC;45.5992753658,-0.915156967296;17120;17;POITOU-CHARENTES
2526;MORGNY-EN-THIERACHE;49.7544947391,4.07631392389;2360;2;PICARDIE
1021;ARS-SUR-FORMANS;45.9934611,4.82199649494;1480;1;RHONE-ALPES
33454;SAINT-MORILLON;44.6420351361,-0.519894969485;33650;33;AQUITAINE
24376;SAINT-AULAYE;45.1823303924,0.136303399419;24410;24;AQUITAINE
6102;RIMPLAS;44.1027644402,7.14505338526;6420;6;PROVENCE-ALPES-COTE D'AZUR
51087;BREUVERY-SUR-COOLE;48.8543161427,4.29872818849;51240;51;CHAMPAGNE-ARDENNE
88408;RUPT-SUR-MOSELLE;47.933079987,6.6637417919;88360;88;LORRAINE
80611;ORESMAUX;49.7665369193,2.26891551501;80160;80;PICARDIE
70578;VREGILLE;47.3308670504,5.8868762035;70150;70;FRANCHE-COMTE
42235;SAINT-HILAIRE-CUSSON-LA-VALMITTE;45.3679237574,4.05975538069;42380;42;RHONE-ALPES
8097;CHALLERANGE;49.3083659488,4.74594763415;8400;8;CHAMPAGNE-ARDENNE
27007;AJOU;48.9840525832,0.769446958903;27410;27;HAUTE-NORMANDIE
21498;POSANGES;47.4218431099,4.52541298855;21350;21;BOURGOGNE
88143;DOMEVRE-SUR-DURBION;48.290163391,6.4826501202;88330;88;LORRAINE
23113;LUPERSAT;45.9899835422,2.35823852546;23190;23;LIMOUSIN
5077;MOLINES-EN-QUEYRAS;44.7166553487,6.89190806069;5350;5;PROVENCE-ALPES-COTE D'AZUR
2A198;OTA;42.2548660718,8.73294026195;20150;2A;CORSE
65025;ARGELES-GAZOST;43.006001672,-0.0963626224791;65400;65;MIDI-PYRENEES
67231;KAUFFENHEIM;48.854005833,8.03199767746;67480;67;ALSACE
49338;SOULAINES-SUR-AUBANCE;47.3590850983,-0.519604593269;49610;49;PAYS DE LA LOIRE
63293;LE QUARTIER;46.1220166679,2.76068293896;63330;63;AUVERGNE
76514;QUEVREVILLE-LA-POTERIE;49.3544551622,1.18963435666;76520;76;HAUTE-NORMANDIE
71102;LA CHARMEE;46.7214775415,4.79585753439;71100;71;BOURGOGNE
91200;DOURDAN;48.5359351532,1.99430156785;91410;91;ILE-DE-FRANCE
78451;NEZEL;48.9422397324,1.83927892943;78410;78;ILE-DE-FRANCE
63173;GRANDRIF;45.5197967423,3.83458423534;63600;63;AUVERGNE
13044;GRANS;43.6142225937,5.04474558898;13450;13;PROVENCE-ALPES-COTE D'AZUR
39315;MARNOZ;46.9538587219,5.83609760607;39110;39;FRANCHE-COMTE
31198;LE FRECHET;43.1898575519,0.931806959516;31360;31;MIDI-PYRENEES
43151;PINOLS;45.0393522436,3.38513092079;43300;43;AUVERGNE
49304;SAINT-MARTIN-DE-LA-PLACE;47.3188388032,-0.137613576826;49160;49;PAYS DE LA LOIRE
